age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
26,married,Associate Degree,Female,32,> 20 kms,Social Media,9,16-06-2015,21-09-2015,20,1,Lateral,Yes,2,No,Yes
31,single,Associate Degree,Female,18,> 20 kms,Company Website,3,15-10-2015,15-01-2016,55,3,Lateral,No,7,Yes,No
36,married,Associate Degree,Female,19,> 20 kms,Consultants,8,01-04-2015,15-06-2015,20,6,Lateral,Yes,12,No,Yes
38,married,Bachelor Degree,Female,25,> 20 kms,Company Website,9,08-02-2016,16-05-2016,80,5,Lateral,Yes,14,No,No
38,single,Master Degree,Female,16,<15 kms,Job Portals,9,04-05-2015,19-07-2015,45,6,Lateral,No,14,Yes,No
39,single,Associate Degree,Female,30,<15 kms,Job Portals,8,04-06-2015,22-09-2015,30,5,Lateral,Yes,15,No,Yes
25,married,Associate Certification,Female,39,<15 kms,Company Website,3,27-10-2015,19-12-2015,56,1,Vertical,No,1,No,No
39,married,Associate Degree,Female,19,15-20 kms,Job Portals,3,09-03-2016,14-06-2016,60,6,Lateral,Yes,15,Yes,No
40,married,Master Degree,Female,30,<15 kms,Consultants,9,20-10-2015,31-01-2016,28,7,Lateral,Yes,16,No,Yes
37,married,Bachelor Degree,Female,25,15-20 kms,Job Portals,8,02-08-2015,31-10-2015,42,6,Lateral,No,13,Yes,No
31,single,Associate Certification,Female,29,<15 kms,Consultants,9,02-06-2015,08-09-2015,24,3,Lateral,Yes,7,No,Yes
27,married,Bachelor Degree,Female,29,> 20 kms,Job Portals,5,30-09-2015,20-11-2015,92,3,Vertical,No,3,No,No
42,married,Associate Certification,Female,17,15-20 kms,Job Portals,4,09-03-2016,16-04-2016,88,6,Vertical,No,18,No,No
33,married,Bachelor Degree,Female,36,> 20 kms,Internal Referrals,8,27-05-2015,19-08-2015,20,8,Lateral,Yes,9,No,Yes
36,married,Associate Certification,Female,25,<15 kms,Internal Referrals,9,06-07-2015,08-10-2015,28,8,Lateral,Yes,12,No,Yes
38,married,Associate Degree,Female,30,> 20 kms,Job Portals,10,15-01-2016,03-04-2016,21,8,Lateral,Yes,14,No,Yes
41,divorced,Bachelor Degree,Female,16,> 20 kms,Job Portals,8,21-01-2016,02-04-2016,19,8,Lateral,Yes,17,No,Yes
43,married,Master Degree,Female,22,<15 kms,Consultants,10,19-12-2015,15-04-2016,28,7,Lateral,Yes,19,No,Yes
43,married,Bachelor Degree,Female,25,> 20 kms,Consultants,8,23-07-2015,16-10-2015,20,7,Lateral,Yes,19,No,Yes
41,married,Bachelor Degree,Female,29,> 20 kms,Social Media,10,16-07-2015,27-09-2015,24,8,Lateral,Yes,17,No,Yes
38,married,Master Degree,Female,32,> 20 kms,Social Media,10,11-01-2016,25-03-2016,29,4,Lateral,Yes,8,No,Yes
34,married,Associate Degree,Female,37,<15 kms,Job Portals,3,09-03-2016,08-05-2016,32,4,Lateral,Yes,10,Yes,No
45,unknown,Associate Degree,Female,35,> 20 kms,Social Media,9,29-08-2015,10-12-2015,73,7,Vertical,No,21,No,No
28,married,Associate Degree,Female,35,15-20 kms,Job Portals,5,22-09-2015,27-12-2015,66,3,Vertical,No,4,Yes,No
39,single,Associate Degree,Female,23,<15 kms,Consultants,3,05-04-2015,22-05-2015,87,5,Lateral,Yes,15,No,No
31,married,Associate Degree,Female,18,15-20 kms,Job Portals,3,25-12-2015,11-04-2016,79,5,Lateral,Yes,7,No,No
38,married,Bachelor Degree,Female,38,<15 kms,Job Portals,5,07-10-2015,02-01-2016,54,5,Lateral,No,14,No,No
35,single,Master Degree,Female,21,> 20 kms,Company Website,3,08-12-2015,15-01-2016,63,4,Vertical,Yes,11,Yes,No
33,married,Master Degree,Female,39,<15 kms,Company Website,6,25-08-2015,03-12-2015,35,6,Vertical,No,9,No,No
39,married,Associate Certification,Female,36,> 20 kms,Consultants,10,10-06-2015,12-09-2015,19,5,Lateral,Yes,15,No,Yes
29,married,Associate Degree,Female,20,> 20 kms,Job Portals,9,14-03-2016,23-04-2016,84,4,Vertical,Yes,5,No,No
38,married,Bachelor Degree,Female,18,> 20 kms,Social Media,6,27-03-2015,26-06-2015,41,4,Vertical,Yes,14,Yes,No
38,married,Master Degree,Female,27,<15 kms,Company Website,8,12-05-2015,16-08-2015,30,7,Lateral,Yes,14,No,No
41,married,Associate Certification,Female,26,<15 kms,Job Portals,4,08-01-2016,12-03-2016,85,3,Lateral,Yes,17,Yes,No
25,married,Associate Degree,Female,22,> 20 kms,Social Media,8,13-03-2016,24-06-2016,19,2,Lateral,Yes,1,No,Yes
39,single,Associate Degree,Female,23,> 20 kms,Consultants,10,24-11-2015,20-03-2016,29,5,Lateral,Yes,15,No,Yes
27,married,Associate Degree,Female,22,<15 kms,Internal Referrals,9,13-09-2015,05-01-2016,24,5,Lateral,Yes,3,No,Yes
44,married,Master Degree,Female,38,<15 kms,Job Portals,10,14-03-2015,05-07-2015,15,6,Lateral,Yes,20,No,Yes
36,married,Associate Certification,Female,25,> 20 kms,Consultants,10,12-02-2016,02-05-2016,82,8,Vertical,No,12,No,No
43,married,Master Degree,Female,26,> 20 kms,Job Portals,8,02-06-2015,24-09-2015,20,5,Lateral,Yes,19,No,Yes
26,married,Bachelor Degree,Female,35,> 20 kms,Social Media,10,09-07-2015,12-08-2015,35,2,Vertical,No,2,No,No
36,single,Associate Certification,Female,36,> 20 kms,Consultants,8,11-05-2015,20-08-2015,91,7,Lateral,No,12,No,No
42,married,Bachelor Degree,Female,18,<15 kms,Job Portals,10,15-07-2015,24-10-2015,15,7,Lateral,Yes,18,No,Yes
43,married,Bachelor Degree,Female,19,15-20 kms,Job Portals,4,24-11-2015,05-02-2016,82,3,Vertical,Yes,19,Yes,No
46,married,Master Degree,Female,28,> 20 kms,Consultants,4,03-02-2016,16-04-2016,74,8,Vertical,No,22,No,No
35,married,Associate Degree,Female,25,<15 kms,Consultants,9,03-11-2015,05-02-2016,26,4,Lateral,Yes,11,No,Yes
29,married,Bachelor Degree,Female,20,<15 kms,Job Portals,5,28-02-2016,08-04-2016,75,5,Vertical,No,5,Yes,No
44,married,Bachelor Degree,Female,38,<15 kms,Job Portals,3,19-06-2015,10-09-2015,88,4,Vertical,No,20,Yes,No
33,single,Bachelor Degree,Female,23,> 20 kms,Internal Referrals,9,02-01-2016,19-03-2016,22,6,Lateral,Yes,9,No,Yes
30,married,Bachelor Degree,Female,25,<15 kms,Job Portals,10,31-03-2015,11-07-2015,19,5,Lateral,Yes,6,No,Yes
36,married,Associate Certification,Female,29,> 20 kms,Company Website,4,01-11-2015,05-01-2016,60,8,Vertical,Yes,12,Yes,No
43,single,Associate Certification,Female,36,<15 kms,Job Portals,5,02-04-2015,06-07-2015,95,3,Lateral,No,19,No,No
27,married,Associate Degree,Female,23,15-20 kms,Job Portals,10,17-07-2015,18-08-2015,58,3,Lateral,No,3,Yes,No
37,divorced,Bachelor Degree,Female,33,> 20 kms,Consultants,8,24-06-2015,01-10-2015,19,3,Lateral,Yes,10,No,Yes
27,married,Associate Certification,Female,18,> 20 kms,Consultants,8,01-05-2015,05-08-2015,15,4,Lateral,Yes,3,No,Yes
35,married,Master Degree,Female,23,> 20 kms,Internal Referrals,9,12-03-2016,11-06-2016,19,5,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Female,20,> 20 kms,Internal Referrals,9,12-02-2016,01-06-2016,18,5,Lateral,Yes,7,No,Yes
27,divorced,Associate Certification,Female,27,15-20 kms,Company Website,5,17-09-2015,30-10-2015,36,4,Lateral,Yes,3,Yes,No
30,married,Associate Certification,Female,39,> 20 kms,Social Media,9,06-05-2015,29-07-2015,38,5,Lateral,No,6,No,No
37,married,Master Degree,Female,35,> 20 kms,Internal Referrals,8,06-09-2015,02-01-2016,24,5,Lateral,Yes,13,No,Yes
41,married,Bachelor Degree,Female,28,> 20 kms,Job Portals,9,06-05-2015,27-08-2015,22,4,Lateral,Yes,17,No,Yes
40,married,Associate Certification,Female,21,15-20 kms,Consultants,6,31-03-2015,01-07-2015,84,6,Vertical,Yes,16,Yes,No
41,married,Associate Certification,Female,19,> 20 kms,Consultants,9,25-10-2015,29-01-2016,18,5,Lateral,Yes,17,No,Yes
35,married,Bachelor Degree,Female,31,> 20 kms,Consultants,10,17-09-2015,01-12-2015,27,4,Lateral,Yes,11,No,Yes
27,married,Associate Degree,Female,16,15-20 kms,Consultants,6,06-01-2016,26-03-2016,49,4,Lateral,No,3,No,No
26,married,Associate Degree,Female,22,> 20 kms,Job Portals,9,21-09-2015,02-12-2015,24,1,Lateral,Yes,2,No,Yes
26,single,Associate Degree,Female,39,<15 kms,Company Website,9,30-04-2015,19-07-2015,28,1,Lateral,Yes,2,No,No
27,divorced,Associate Degree,Female,39,<15 kms,Social Media,9,01-12-2015,14-01-2016,72,5,Lateral,Yes,6,Yes,No
41,married,Associate Degree,Female,25,> 20 kms,Social Media,3,19-03-2015,07-06-2015,76,7,Lateral,Yes,17,Yes,No
33,married,Associate Certification,Female,18,<15 kms,Consultants,8,07-04-2015,31-07-2015,21,6,Lateral,Yes,9,No,Yes
31,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,9,25-05-2015,21-08-2015,28,5,Lateral,Yes,7,No,Yes
44,married,Associate Certification,Female,18,<15 kms,Consultants,9,27-06-2015,10-08-2015,65,4,Vertical,No,20,No,No
37,married,Bachelor Degree,Female,38,> 20 kms,Social Media,8,20-12-2015,02-04-2016,26,6,Lateral,Yes,13,No,Yes
26,married,Associate Certification,Female,30,> 20 kms,Job Portals,10,09-01-2016,25-04-2016,24,1,Lateral,Yes,2,No,Yes
39,married,Associate Certification,Female,22,> 20 kms,Job Portals,8,11-04-2015,19-06-2015,19,4,Lateral,Yes,9,No,Yes
36,married,Associate Degree,Female,37,<15 kms,Internal Referrals,8,15-02-2016,03-06-2016,15,5,Lateral,Yes,12,No,Yes
38,married,Master Degree,Female,24,> 20 kms,Social Media,9,30-03-2016,11-07-2016,25,8,Lateral,Yes,14,No,Yes
38,married,Master Degree,Female,33,> 20 kms,Consultants,10,29-10-2015,18-01-2016,17,4,Lateral,Yes,14,No,Yes
33,married,Associate Certification,Female,29,> 20 kms,Job Portals,9,28-06-2015,07-08-2015,50,5,Lateral,No,9,Yes,No
33,divorced,Associate Degree,Female,40,15-20 kms,Job Portals,3,07-03-2016,30-05-2016,36,4,Vertical,No,9,No,No
29,single,Associate Certification,Female,28,<15 kms,Social Media,9,06-03-2016,26-06-2016,21,4,Lateral,Yes,5,No,Yes
36,married,Associate Certification,Female,25,<15 kms,Social Media,9,14-06-2015,07-10-2015,18,4,Lateral,Yes,12,No,Yes
42,married,Master Degree,Female,18,> 20 kms,Job Portals,3,15-09-2015,05-11-2015,47,3,Vertical,No,18,Yes,No
40,married,Associate Certification,Female,33,> 20 kms,Consultants,10,04-02-2016,31-05-2016,19,4,Lateral,Yes,10,No,Yes
28,married,Associate Degree,Female,18,<15 kms,Company Website,3,30-08-2015,04-12-2015,27,4,Vertical,No,4,Yes,No
43,divorced,Associate Certification,Female,39,> 20 kms,Social Media,9,23-02-2016,15-04-2016,47,8,Lateral,No,19,Yes,No
37,divorced,Bachelor Degree,Female,27,<15 kms,Social Media,7,06-08-2015,16-11-2015,87,5,Vertical,Yes,13,Yes,No
41,single,Associate Degree,Female,17,15-20 kms,Consultants,7,13-09-2015,31-10-2015,58,6,Lateral,Yes,17,No,No
36,married,Master Degree,Female,37,> 20 kms,Internal Referrals,8,24-12-2015,26-03-2016,24,3,Lateral,Yes,12,No,Yes
29,married,Associate Degree,Female,23,<15 kms,Social Media,9,23-03-2015,19-07-2015,26,5,Lateral,Yes,5,No,Yes
37,married,Associate Certification,Female,37,<15 kms,Job Portals,6,31-03-2015,08-07-2015,42,7,Lateral,No,13,No,No
25,married,Associate Certification,Female,17,> 20 kms,Job Portals,10,15-04-2015,13-08-2015,23,1,Lateral,Yes,1,No,Yes
41,divorced,Associate Certification,Female,36,15-20 kms,Social Media,8,23-07-2015,03-09-2015,37,6,Vertical,No,17,No,No
45,married,Associate Degree,Female,37,15-20 kms,Job Portals,8,14-02-2016,27-04-2016,80,5,Lateral,Yes,21,Yes,No
39,divorced,Master Degree,Female,19,> 20 kms,Social Media,9,27-02-2016,18-06-2016,28,6,Lateral,Yes,15,No,Yes
28,married,Associate Certification,Female,40,<15 kms,Social Media,6,15-08-2015,16-11-2015,86,4,Vertical,Yes,4,No,No
44,married,Associate Certification,Female,16,> 20 kms,Job Portals,10,18-07-2015,21-10-2015,29,5,Lateral,Yes,20,No,Yes
34,married,Associate Degree,Female,28,> 20 kms,Internal Referrals,9,23-03-2016,11-07-2016,30,6,Lateral,Yes,10,No,Yes
32,divorced,Bachelor Degree,Female,23,<15 kms,Social Media,9,11-05-2015,02-08-2015,17,8,Lateral,Yes,8,No,Yes
30,divorced,Associate Certification,Female,37,15-20 kms,Consultants,3,04-11-2015,07-01-2016,75,4,Lateral,Yes,6,Yes,No
41,married,Associate Certification,Female,20,<15 kms,Consultants,10,15-09-2015,16-12-2015,15,5,Lateral,Yes,17,No,Yes
35,divorced,Bachelor Degree,Female,33,> 20 kms,Job Portals,10,21-03-2016,27-06-2016,20,8,Lateral,Yes,11,No,Yes
39,married,Associate Degree,Female,21,> 20 kms,Consultants,8,26-04-2015,13-07-2015,19,4,Lateral,Yes,9,No,Yes
27,divorced,Associate Certification,Female,20,> 20 kms,Company Website,4,13-02-2016,21-05-2016,29,5,Lateral,No,6,Yes,No
28,married,Associate Certification,Female,36,> 20 kms,Social Media,6,31-03-2015,26-06-2015,42,3,Vertical,No,4,Yes,No
41,married,Master Degree,Female,34,<15 kms,Job Portals,10,31-03-2015,25-07-2015,24,4,Lateral,Yes,11,No,Yes
44,married,Associate Certification,Female,19,<15 kms,Job Portals,10,05-10-2015,02-12-2015,57,3,Lateral,Yes,20,Yes,No
37,married,Associate Certification,Female,21,<15 kms,Company Website,3,16-10-2015,23-11-2015,85,5,Lateral,No,13,No,No
27,married,Associate Certification,Female,18,> 20 kms,Job Portals,3,31-07-2015,29-10-2015,88,4,Lateral,Yes,3,Yes,No
42,divorced,Master Degree,Female,25,<15 kms,Job Portals,5,13-11-2015,19-12-2015,57,3,Lateral,No,18,Yes,No
36,married,Master Degree,Female,39,<15 kms,Social Media,3,22-05-2015,17-07-2015,72,3,Lateral,Yes,12,No,No
29,married,Bachelor Degree,Female,39,<15 kms,Job Portals,7,02-08-2015,29-09-2015,66,5,Vertical,Yes,5,No,No
30,married,Associate Certification,Female,18,> 20 kms,Company Website,7,29-03-2015,23-05-2015,51,5,Vertical,Yes,6,Yes,No
33,married,Bachelor Degree,Female,17,<15 kms,Job Portals,8,27-01-2016,08-03-2016,40,3,Vertical,No,9,No,No
25,married,Associate Degree,Female,29,> 20 kms,Social Media,10,17-12-2015,11-04-2016,30,1,Lateral,Yes,1,No,Yes
37,married,Associate Certification,Female,38,<15 kms,Internal Referrals,10,20-08-2015,29-10-2015,28,5,Lateral,Yes,13,No,Yes
36,married,Bachelor Degree,Female,39,> 20 kms,Social Media,3,11-05-2015,05-07-2015,56,3,Vertical,Yes,12,Yes,No
43,divorced,Master Degree,Female,12,> 20 kms,Consultants,8,13-03-2015,13-04-2015,77,3,Vertical,No,19,Yes,No
42,married,Associate Degree,Female,23,15-20 kms,Company Website,3,26-04-2015,24-06-2015,77,8,Lateral,Yes,18,Yes,No
43,married,Master Degree,Female,31,> 20 kms,Job Portals,8,13-02-2016,28-05-2016,20,7,Lateral,Yes,19,No,Yes
36,married,Master Degree,Female,38,> 20 kms,Social Media,9,21-03-2015,29-05-2015,25,3,Lateral,Yes,8,No,Yes
31,married,Associate Degree,Female,16,<15 kms,Job Portals,9,11-10-2015,20-11-2015,53,4,Lateral,No,7,Yes,No
32,single,Bachelor Degree,Female,27,15-20 kms,Social Media,4,25-08-2015,28-10-2015,63,6,Vertical,No,8,Yes,No
27,married,Associate Degree,Female,34,<15 kms,Social Media,8,09-05-2015,13-07-2015,19,4,Lateral,Yes,3,No,Yes
35,married,Associate Certification,Female,28,<15 kms,Company Website,10,16-08-2015,30-11-2015,73,8,Vertical,Yes,11,Yes,No
33,married,Associate Degree,Female,34,> 20 kms,Internal Referrals,8,01-08-2015,10-10-2015,29,3,Lateral,Yes,9,No,Yes
38,divorced,Bachelor Degree,Female,20,<15 kms,Company Website,7,19-01-2016,08-03-2016,55,6,Vertical,No,14,No,No
26,married,Associate Degree,Female,16,<15 kms,Job Portals,3,23-04-2015,25-07-2015,31,1,Lateral,No,2,Yes,No
42,married,Associate Certification,Female,24,<15 kms,Job Portals,10,05-05-2015,29-08-2015,20,8,Lateral,Yes,18,No,Yes
39,single,Bachelor Degree,Female,16,<15 kms,Social Media,8,02-04-2015,25-06-2015,26,4,Lateral,Yes,9,No,Yes
40,married,Bachelor Degree,Female,33,<15 kms,Job Portals,10,02-03-2015,26-06-2015,16,4,Lateral,Yes,16,No,Yes
34,married,Bachelor Degree,Female,35,> 20 kms,Social Media,9,05-03-2015,15-06-2015,17,7,Lateral,Yes,10,No,Yes
44,married,Associate Certification,Female,10,> 20 kms,Job Portals,3,25-10-2015,30-12-2015,43,4,Lateral,Yes,20,Yes,No
45,married,Associate Degree,Female,11,<15 kms,Company Website,4,29-08-2015,02-10-2015,60,8,Vertical,Yes,21,Yes,No
39,divorced,Bachelor Degree,Female,13,<15 kms,Job Portals,10,04-04-2015,13-07-2015,79,5,Lateral,Yes,15,No,No
33,married,Master Degree,Female,19,<15 kms,Consultants,8,05-12-2015,27-03-2016,24,3,Lateral,Yes,5,No,Yes
38,married,Master Degree,Female,37,> 20 kms,Social Media,8,16-10-2015,22-12-2015,15,6,Lateral,Yes,14,No,Yes
41,married,Bachelor Degree,Female,18,<15 kms,Consultants,8,30-09-2015,23-01-2016,20,8,Lateral,Yes,17,No,Yes
42,married,Master Degree,Female,40,> 20 kms,Internal Referrals,9,05-03-2016,23-05-2016,18,7,Lateral,Yes,18,No,Yes
45,married,Associate Degree,Female,31,> 20 kms,Social Media,10,20-03-2016,12-07-2016,17,8,Lateral,Yes,21,No,Yes
36,single,Associate Degree,Female,28,<15 kms,Job Portals,10,15-01-2016,21-04-2016,20,7,Lateral,Yes,12,No,Yes
36,married,Associate Certification,Female,21,> 20 kms,Job Portals,10,20-02-2016,04-05-2016,17,3,Lateral,Yes,12,No,Yes
27,single,Bachelor Degree,Female,11,<15 kms,Social Media,4,08-07-2015,09-08-2015,91,5,Lateral,Yes,6,No,No
31,single,Bachelor Degree,Female,28,<15 kms,Consultants,4,25-04-2015,06-08-2015,59,5,Vertical,Yes,7,No,No
39,married,Master Degree,Female,36,> 20 kms,Job Portals,10,19-04-2015,24-07-2015,23,4,Lateral,Yes,15,No,Yes
35,married,Associate Degree,Female,17,> 20 kms,Consultants,9,05-03-2016,25-05-2016,18,8,Lateral,Yes,11,No,Yes
35,divorced,Associate Degree,Female,31,> 20 kms,Consultants,10,08-06-2015,13-08-2015,30,4,Lateral,Yes,11,No,Yes
42,married,Bachelor Degree,Female,12,> 20 kms,Consultants,7,07-08-2015,22-10-2015,51,7,Vertical,No,18,No,No
44,married,Bachelor Degree,Female,25,> 20 kms,Consultants,9,30-05-2015,10-09-2015,24,8,Lateral,Yes,20,No,Yes
45,divorced,Associate Degree,Female,17,<15 kms,Job Portals,9,03-02-2016,13-04-2016,19,6,Lateral,Yes,21,No,Yes
26,married,Associate Certification,Female,29,> 20 kms,Consultants,8,02-03-2016,21-05-2016,17,2,Lateral,Yes,2,No,Yes
31,divorced,Associate Degree,Female,17,> 20 kms,Job Portals,9,04-04-2015,28-06-2015,23,4,Lateral,Yes,7,No,Yes
27,married,Associate Degree,Female,39,<15 kms,Consultants,9,26-05-2015,19-08-2015,21,4,Lateral,Yes,3,No,Yes
42,married,Associate Degree,Female,22,> 20 kms,Social Media,9,20-03-2015,03-06-2015,30,3,Lateral,Yes,7,No,Yes
43,married,Associate Degree,Female,20,15-20 kms,Company Website,9,05-01-2016,29-03-2016,91,7,Vertical,Yes,19,No,No
43,single,Associate Degree,Female,18,> 20 kms,Job Portals,10,02-02-2016,03-03-2016,53,3,Lateral,No,19,Yes,No
35,married,Master Degree,Female,25,> 20 kms,Internal Referrals,8,16-06-2015,08-10-2015,16,8,Lateral,Yes,11,No,Yes
30,married,Bachelor Degree,Female,12,<15 kms,Consultants,7,24-03-2016,10-07-2016,27,3,Vertical,No,6,No,No
37,married,Master Degree,Female,12,<15 kms,Job Portals,6,21-12-2015,21-03-2016,58,7,Vertical,No,13,Yes,No
28,single,Associate Degree,Female,26,15-20 kms,Job Portals,7,23-03-2015,15-05-2015,54,4,Vertical,Yes,4,Yes,No
34,married,Bachelor Degree,Female,27,<15 kms,Job Portals,8,09-04-2015,25-06-2015,25,3,Lateral,Yes,6,No,Yes
34,married,Bachelor Degree,Female,10,> 20 kms,Consultants,4,11-04-2015,16-05-2015,37,7,Vertical,Yes,10,No,No
36,married,Bachelor Degree,Female,20,> 20 kms,Internal Referrals,10,14-09-2015,28-12-2015,18,8,Lateral,Yes,12,No,Yes
35,married,Associate Degree,Female,18,<15 kms,Job Portals,5,14-10-2015,21-11-2015,32,7,Lateral,No,11,Yes,No
39,married,Associate Degree,Female,17,15-20 kms,Job Portals,6,24-06-2015,26-08-2015,57,6,Vertical,No,15,No,No
30,married,Associate Certification,Female,10,15-20 kms,Consultants,6,06-11-2015,14-01-2016,93,3,Vertical,No,6,Yes,No
42,married,Associate Certification,Female,12,> 20 kms,Job Portals,10,12-09-2015,17-12-2015,31,8,Vertical,Yes,18,No,No
41,married,Master Degree,Female,14,> 20 kms,Social Media,6,01-11-2015,02-02-2016,54,7,Vertical,No,17,No,No
26,married,Associate Degree,Female,13,15-20 kms,Social Media,3,01-07-2015,07-08-2015,29,1,Vertical,No,2,Yes,No
34,married,Associate Certification,Female,28,> 20 kms,Consultants,8,11-12-2015,19-03-2016,26,5,Lateral,Yes,10,No,Yes
40,married,Associate Degree,Female,19,15-20 kms,Social Media,3,22-12-2015,09-04-2016,52,7,Vertical,Yes,16,Yes,No
26,married,Associate Degree,Female,19,> 20 kms,Consultants,9,06-02-2016,03-04-2016,33,2,Lateral,No,2,No,No
42,married,Associate Degree,Female,21,> 20 kms,Consultants,10,29-12-2015,16-03-2016,20,7,Lateral,Yes,18,No,Yes
27,single,Bachelor Degree,Female,17,<15 kms,Social Media,8,13-10-2015,18-01-2016,31,5,Vertical,No,6,Yes,No
44,divorced,Master Degree,Female,17,> 20 kms,Social Media,3,02-03-2016,25-05-2016,62,8,Vertical,Yes,20,No,No
46,married,Associate Certification,Female,17,15-20 kms,Social Media,9,19-06-2015,22-07-2015,67,4,Lateral,Yes,22,Yes,No
35,single,Associate Degree,Female,29,<15 kms,Social Media,4,18-09-2015,23-11-2015,48,7,Vertical,No,11,Yes,No
25,married,Associate Certification,Female,16,<15 kms,Consultants,9,18-04-2015,07-08-2015,22,1,Lateral,Yes,1,No,Yes
43,married,Master Degree,Female,18,> 20 kms,Consultants,10,29-01-2016,07-03-2016,93,3,Vertical,Yes,19,Yes,No
42,single,Associate Degree,Female,16,15-20 kms,Social Media,9,27-07-2015,14-10-2015,36,5,Lateral,Yes,18,No,No
32,married,Bachelor Degree,Female,23,<15 kms,Social Media,9,11-10-2015,31-12-2015,29,7,Lateral,Yes,8,No,Yes
25,married,Associate Degree,Female,29,> 20 kms,Social Media,8,19-06-2015,10-08-2015,92,1,Lateral,No,1,Yes,No
30,married,Associate Certification,Female,18,<15 kms,Consultants,10,24-03-2015,07-06-2015,16,3,Lateral,Yes,6,No,Yes
44,single,Bachelor Degree,Female,14,15-20 kms,Job Portals,7,20-12-2015,26-02-2016,79,7,Vertical,Yes,20,Yes,No
40,married,Master Degree,Female,22,<15 kms,Internal Referrals,9,02-12-2015,20-02-2016,16,4,Lateral,Yes,16,No,Yes
46,married,Master Degree,Female,23,> 20 kms,Social Media,10,21-07-2015,07-09-2015,68,5,Lateral,No,22,Yes,No
41,married,Master Degree,Female,18,> 20 kms,Job Portals,10,30-04-2015,03-06-2015,64,6,Lateral,Yes,17,Yes,No
26,single,Bachelor Degree,Female,10,15-20 kms,Consultants,4,24-06-2015,29-08-2015,92,1,Vertical,Yes,2,No,No
45,single,Master Degree,Female,38,> 20 kms,Consultants,10,23-06-2015,27-09-2015,29,5,Lateral,Yes,21,No,Yes
38,married,Bachelor Degree,Female,36,<15 kms,Consultants,8,07-08-2015,14-11-2015,17,6,Lateral,Yes,14,No,Yes
39,single,Associate Certification,Female,37,> 20 kms,Consultants,8,29-08-2015,18-11-2015,16,4,Lateral,Yes,9,No,Yes
40,single,Bachelor Degree,Female,31,<15 kms,Job Portals,9,11-08-2015,21-10-2015,27,7,Lateral,Yes,16,No,Yes
45,single,Bachelor Degree,Female,18,15-20 kms,Social Media,3,23-04-2015,24-06-2015,95,4,Lateral,Yes,21,No,No
38,divorced,Associate Degree,Female,14,15-20 kms,Social Media,3,19-02-2016,15-04-2016,74,8,Vertical,No,14,No,No
